Cazy_function	Lp082_1	Lp082_2	Lp082_3	Lp082_4	Lp082_5	Lp082_6	Lp082_M_1	Lp082_M_2	Lp082_M_3	Lp082_M_4	Lp082_M_5	Lp082_M_6
1,2-diacylglycerol 3-β-galactosyltransferase (EC 2.4.1.46)	-2	-2	-2	-2	-2	-2	2.91960625	2.436178555	2.503804297	2.815584389	2.447173542	2.421126599
acetyl xylan esterase (EC 3.1.1.72)	-2	-2	-2	-2	-2	-2	3.125289288	2.488564817	3.025309962	3.58983906	2.82217462	3.460297832
amylomaltase or 4-α-glucanotransferase (EC 2.4.1.25)	-2	-2	-2	-2	-2	-2	3.458971561	3.685438074	3.810488582	3.888668572	3.66970822	3.837450174
cellobiose phosphorylase (EC 2.4.1.20)	-2	-2	-2	-2	-2	-2	3.403242381	3.798133189	3.403087905	3.901458866	3.574240837	3.851167198
cellulose synthase (EC 2.4.1.12)	-2	-2	-2	-2	-2	-2	4.038147466	4.007030899	4.039398651	4.183725543	4.027663899	4.255347535
chitinase (EC 3.2.1.14)	-2	-2	-2	-2	-2	-2	3.239952307	3.064873365	3.124377048	3.58658843	2.982320993	3.530956172
d-4,5-unsaturated β-glucuronyl hydrolase (EC 3.2.1.-)	-2	-2	-2	-2	-2	-2	2.677980869	2.676702753	2.573927025	3.158666995	2.906932728	3.30460038
endoglucanase (EC 3.2.1.4)	-2	-2	-2	-2	-2	-2	2.855827958	3.406149992	3.099096817	3.464699639	3.414473622	3.182674238
endo-β-1,4-xylanase (EC 3.2.1.8)	-2	-2	-2	-2	-2	-2	2.283323848	1.928447063	2.445619769	2.359854447	1.19893187	2.690204943
endo-β-N-acetylglucosaminidase (EC 3.2.1.96)	-2	-2	-2	-2	-2	-2	2.366067905	2.222742476	3.400936701	3.124377048	3.605306124	2.240574207
exo-α-1,6-mannosidase (EC 3.2.1.-)	-2	-2	-2	-2	-2	-2	1.526468512	3.045326891	2.759675398	3.245515135	2.715175726	3.120577221
glucoamylase (EC 3.2.1.3)	-2	-2	-2	-2	-2	-2	3.467772322	3.355874689	3.654138985	3.260240778	3.806635066	3.162447902
heparin-sulfate lyase (EC 4.2.2.8)	-2	-2	-2	-2	-2	-2	2.475685713	2.214870329	2.307517431	2.103837916	2.146159056	2.376595204
hyaluronate lyase (EC 4.2.2.1)	-2	-2	-2	-2	-2	-2	2.082821261	2.607465746	2.780324514	3.414975018	2.794495018	3.127108039
invertase (EC 3.2.1.26)	-2	-2	-2	-2	-2	-2	3.229018506	3.518278304	3.40871641	3.302484615	3.184751036	3.703524373
lacto-N-biose phosphorylase or galacto-N-biose phosphorylase (EC 2.4.1.211)	-2	-2	-2	-2	-2	-2	3.361143979	2.017075096	3.083075999	3.765237026	3.331591265	3.278275614
lysozyme (EC 3.2.1.17)	-2	-2	-2	-2	-2	-2	2.926347592	3.230323724	2.712658118	2.372930405	2.557158182	3.288832515
lysozyme type G (EC 3.2.1.17)	-2	-2	-2	-2	-2	-2	2.81691046	2.373114381	2.233021507	2.887060011	2.937923913	3.171349024
maltose-6-phosphate glucosidase (EC 3.2.1.122)	-2	-2	-2	-2	-2	-2	2.840488758	2.603155203	2.350848635	2.76358521	2.957037111	3.599884163
mannosyl-oligosaccharide α-1,2-mannosidase (EC 3.2.1.113)	-2	-2	-2	-2	-2	-2	4.289254631	4.295021636	4.488209492	4.168430006	4.405687957	4.212526116
N-acetyl β-glucosaminidase (EC 3.2.1.52)	-2	-2	-2	-2	-2	-2	2.484314078	2.157486989	2.494168513	2.912758613	2.313888302	3.113278038
N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.25)	-2	-2	-2	-2	-2	-2	2.7704175	2.917510761	2.825757068	3.287356014	1.806925777	3.077880034
polygalacturonase (EC 3.2.1.15)	-2	-2	-2	-2	-2	-2	1.608632989	2.339868641	2.694964769	2.700539312	2.261999949	2.951342377
α-1,6-mannanase (EC 3.2.1.101)	-2	-2	-2	-2	-2	-2	2.682154105	2.431379849	3.037031868	2.642474413	2.887622926	-2
sialidase or neuraminidase (EC 3.2.1.18)	-2	-2	-2	-2	-2	-2	2.170291059	2.531747075	2.257222446	2.804963605	2.814919832	3.245021341
sucrose synthase (EC 2.4.1.13)	-2	-2	-2	-2	-2	-2	4.234621289	4.003357547	3.961279154	4.079716907	4.093327461	4.279060013
β-N-acetylgalactosaminidase (EC 3.2.1.53)	-2	-2	-2	-2	-2	-2	1.996117476	2.234036155	2.807338807	2.781044129	2.858543213	2.721818856
UDP-Glc: glycogen glucosyltransferase (EC 2.4.1.11)	-2	-2	-2	-2	-2	-2	1.585573519	2.516548594	2.507869359	2.649928443	2.464206284	2.770859373
UDP-glucuronosyltransferase (EC 2.4.1.17)	-2	-2	-2	-2	-2	-2	2.140225125	2.010766234	2.562304763	1.991713276	1.871631305	2.37329828
undecaprenyl phosphate-α-L-Ara4N: 4-amino-4-deoxy-β-L-arabinosyltransferase (EC 2.4.2.43)	-2	-2	-2	-2	-2	-2	2.143046043	2.146159056	2.612794449	3.481444062	2.797966559	3.204122697
unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172)	-2	-2	-2	-2	-2	-2	2.833153489	2.935361133	2.602830181	2.649733915	2.977910997	3.33977133
xylan α-1,2-glucuronidase (3.2.1.131)	-2	-2	-2	-2	-2	-2	2.857700285	2.964170027	3.155764047	2.880819307	3.337620968	2.774086107
α,α-trehalase (EC 3.2.1.28)	-2	-2	-2	-2	-2	-2	2.050031562	2.946506303	2.623259631	2.449648073	1.586699802	2.984531814
